"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0203.211.040","AC","012","2","014",,24-11-1860
"0203.286.759","AC","000","2","124",,04-11-1939
"0203.375.049","AC","000","2","116",,01-01-1948
"0203.375.148","AC","012","2","116",,02-02-1940
"0203.389.204","AC","000","2","706",,01-01-1968
"0203.430.576","AC","000","2","114",,01-01-1968
"0203.683.766","AC","000","2","151",,01-01-1968
"0203.884.397","AC","000","2","116",,01-01-1968
"0203.949.131","AC","012","2","116",,25-06-1941
"0203.963.680","AC","000","2","706",,26-12-1928
"0203.978.726","AC","000","2","706",,30-12-1929
"0203.980.409","AC","000","2","716",,01-01-1968
"0203.989.614","AC","000","2","108",,29-08-1947
"0204.212.714","AC","000","2","416",,13-11-1968
"0204.245.277","AC","000","2","706",,30-03-1923
"0204.259.135","AC","000","2","706",,13-11-1968
"0204.259.927","AC","000","2","116",,13-12-1967
"0204.359.994","AC","000","2","706",,05-04-1962
"0204.360.093","AC","000","2","151",,01-01-1968
"0204.360.489","AC","000","2","116",,17-10-1966
"0204.395.925","AC","000","2","116",,01-01-1968
"0204.396.024","AC","000","2","116",,01-01-1968
"0204.396.222","AC","000","2","116",,01-01-1968
"0204.419.976","AC","000","2","116",,02-12-1936
"0204.421.461","AC","000","2","116",,01-01-1968
"0204.518.263","AC","000","2","151",,01-01-1968
"0204.908.936","AC","000","2","417",,01-01-1968
"0204.923.881","AC","000","2","417",,14-11-1968
"0205.097.392","AC","000","2","114",,26-11-1895
"0205.157.869","AC","000","2","416",,30-05-1964
"0205.264.668","AC","000","2","417",,24-12-1924
"0205.350.681","AC","000","2","416",,01-03-1966
"0205.620.501","AC","000","2","706",,01-01-1968
"0205.764.318","AC","000","2","014",,30-09-1937
"0205.774.810","AC","000","2","416",,08-07-1965
"0205.797.475","AC","000","2","706",,01-01-1962
"0205.970.788","AC","012","2","116",,01-01-1968
"0206.041.757","AC","000","2","108",,09-09-1924
"0206.048.091","AC","000","2","124",,20-11-1946
"0206.157.761","AC","000","2","706",,01-03-1966
"0206.414.218","AC","000","2","379",,01-01-1967
"0206.460.639","AC","000","2","416",,27-06-1968
"0206.491.422","AC","000","2","411",,16-06-1969
"0206.491.917","AC","000","2","411",,06-05-1959
"0206.492.511","AC","000","2","379",,01-01-1960
"0206.492.610","AC","000","2","411",,01-01-1968
"0206.492.907","AC","000","2","124",,01-01-1968
"0206.524.777","AC","000","2","411",,09-09-1969
"0206.524.876","AC","000","2","411",,09-09-1969
"0206.538.536","AC","000","2","151",,01-01-1967
"0206.543.781","AC","000","2","411",,17-07-1969
"0206.544.474","AC","000","2","411",,17-07-1969
"0206.544.672","AC","000","2","411",,17-07-1969
"0206.544.969","AC","000","2","411",,17-07-1969
"0206.545.266","AC","000","2","151",,22-05-1969
"0206.545.464","AC","000","2","151",,22-05-1969
"0206.545.662","AC","000","2","379",,01-01-1967
"0206.559.025","AC","000","2","151",,22-05-1969
"0206.561.993","AC","000","2","411",,23-05-1969
"0206.562.092","AC","000","2","411",,23-05-1969
"0206.564.666","AC","000","2","411",,17-07-1969
"0206.564.963","AC","000","2","411",,14-08-1899
"0206.565.656","AC","000","2","411",,17-07-1969
"0206.565.755","AC","000","2","411",,03-06-1969
"0206.565.953","AC","000","2","411",,17-07-1969
"0206.566.052","AC","000","2","411",,05-05-1900
"0206.567.042","AC","000","2","411",,17-07-1969
"0206.567.339","AC","000","2","411",,01-01-1968
"0206.578.722","AC","000","2","411",,17-07-1969
"0206.578.821","AC","000","2","411",,17-07-1969
"0206.582.284","AC","000","2","411",,03-06-1969
"0206.593.667","AC","000","2","151",,04-06-1969
"0206.607.129","AC","000","2","151",,10-06-1969
"0206.618.215","AC","000","2","411",,06-03-1925
"0206.621.183","AC","000","2","411",,13-06-1969
"0206.621.282","AC","000","2","411",,29-10-1948
"0206.621.678","AC","000","2","411",,13-06-1969
"0206.621.975","AC","000","2","411",,13-06-1969
"0206.625.935","AC","000","2","411",,01-01-1968
"0206.626.331","AC","000","2","411",,13-06-1969
"0206.626.925","AC","000","2","411",,13-06-1969
"0206.628.707","AC","000","2","411",,13-06-1969
"0206.636.526","AC","000","2","411",,13-06-1969
"0206.642.563","AC","000","2","411",,01-01-1968
"0206.644.444","AC","000","2","411",,16-06-1969
"0206.644.741","AC","000","2","411",,01-01-1968
"0206.645.533","AC","000","2","114",,16-06-1969
"0206.646.721","AC","000","2","116",,16-06-1969
"0206.653.946","AC","000","2","303",,09-08-1963
"0206.667.606","AC","000","2","411",,18-06-1969
"0206.677.801","AC","000","2","411",,01-01-1968
"0206.677.997","AC","000","2","411",,18-06-1969
"0206.684.927","AC","000","2","411",,18-06-1969
"0206.690.271","AC","000","2","411",,26-06-1969
"0206.691.756","AC","000","2","114",,26-06-1969
"0206.694.528","AC","000","2","151",,26-06-1969
"0206.695.419","AC","000","2","124",,01-01-1968
"0206.700.763","AC","000","2","411",,06-03-1925
"0206.700.862","AC","000","2","411",,26-06-1969
"0206.701.159","AC","000","2","411",,02-07-1964
"0206.701.753","AC","000","2","411",,26-06-1969
"0206.702.050","AC","000","2","411",,02-07-1964
"0206.703.040","AC","000","2","411",,26-06-1969
"0206.704.525","AC","000","2","411",,26-06-1969
"0206.705.713","AC","000","2","411",,26-06-1969
"0206.706.109","AC","000","2","411",,26-06-1969
"0206.706.604","AC","000","2","411",,01-01-1968
"0206.731.546","AC","000","2","151",,31-07-1969
"0206.731.645","AC","000","2","303",,01-01-1968
"0206.731.744","AC","000","2","151",,31-07-1969
"0206.732.338","AC","000","2","151",,31-07-1969
"0206.732.437","AC","000","2","303",,01-01-1968
"0206.732.536","AC","000","2","303",,14-07-1951
"0206.732.932","AC","000","2","303",,31-07-1969
"0206.733.130","AC","000","2","151",,31-07-1969
"0206.733.229","AC","000","2","124",,31-07-1969
"0206.734.021","AC","000","2","151",,31-07-1969
"0206.734.318","AC","000","2","303",,10-04-1971
"0206.734.417","AC","000","2","151",,31-07-1969
"0206.734.516","AC","000","2","151",,31-07-1969
"0206.735.110","AC","000","2","151",,31-07-1969
"0206.735.506","AC","000","2","151",,31-07-1969
"0206.735.803","AC","012","2","151",,01-01-1968
"0206.736.001","AC","000","2","151",,31-07-1969
"0206.737.088","AC","000","2","151",,31-07-1969
"0206.737.484","AC","000","2","303",,01-01-1968
"0206.737.880","AC","000","2","151",,01-01-1968
"0206.738.078","AC","000","2","303",,24-10-1967
"0206.751.837","AC","000","2","411",,19-08-1969
"0206.767.574","AC","000","2","416",,19-06-1969
"0206.768.366","AC","000","2","411",,09-09-1969
"0206.772.722","AC","000","2","108",,31-01-1969
"0206.848.639","AC","000","2","417",,09-09-1969
"0207.067.482","AC","000","2","411",,13-04-1970
"0207.078.568","AC","000","2","411",,06-03-1925
"0207.087.872","AC","000","2","416",,25-04-1970
"0207.142.411","AC","000","2","110",,01-01-1961
"0207.145.181","AC","000","2","379",,01-01-1966
"0207.146.864","AC","000","2","151",,01-01-1968
"0207.146.963","AC","000","2","151",,01-01-1968
"0207.147.458","AC","000","2","151",,01-01-1968
"0207.147.656","AC","000","2","151",,01-01-1968
"0207.147.854","AC","000","2","151",,01-01-1968
"0207.148.052","AC","000","2","412",,01-01-1968
"0207.148.250","AC","000","2","411",,26-08-1907
"0207.165.769","AC","000","2","417",,15-06-1970
"0207.201.797","AC","000","2","411",,01-01-1968
"0207.202.193","AC","000","2","411",,01-01-1968
"0207.215.160","AC","000","2","411",,01-01-1968
"0207.227.731","AC","000","2","411",,10-09-1970
"0207.258.514","AC","000","2","411",,24-05-1886
"0207.274.350","AC","000","2","411",,01-01-1968
"0207.274.647","AC","000","2","411",,01-01-1968
"0207.275.538","AC","000","2","411",,01-01-1968
"0207.277.122","AC","000","2","411",,01-01-1968
"0207.277.617","AC","000","2","411",,01-01-1968
"0207.279.397","AC","000","2","411",,02-07-1964
"0207.279.793","AC","000","2","411",,01-01-1968
"0207.280.090","AC","000","2","411",,01-01-1968
"0207.280.387","AC","000","2","411",,01-01-1968
"0207.281.476","AC","000","2","411",,01-01-1968
"0207.282.169","AC","000","2","411",,01-01-1968
"0207.282.268","AC","000","2","411",,01-01-1968
"0207.283.654","AC","000","2","411",,20-03-1941
"0207.283.951","AC","000","2","411",,16-03-1880
"0207.284.248","AC","000","2","411",,01-01-1968
"0207.284.347","AC","000","2","411",,01-01-1968
"0207.284.644","AC","000","2","411",,01-01-1968
"0207.286.129","AC","000","2","411",,01-01-1968
"0207.286.822","AC","000","2","411",,01-01-1968
"0207.287.713","AC","000","2","411",,30-03-1945
"0207.288.604","AC","000","2","411",,20-03-1941
"0207.289.295","AC","000","2","411",,01-01-1968
"0207.290.681","AC","000","2","411",,01-01-1968
"0207.291.572","AC","000","2","411",,01-01-1968
"0207.292.463","AC","000","2","411",,01-01-1968
"0207.293.651","AC","000","2","411",,01-01-1968
"0207.294.047","AC","000","2","411",,01-01-1968
"0207.294.443","AC","000","2","411",,01-01-1968
"0207.297.017","AC","000","2","411",,01-01-1968
"0207.297.116","AC","000","2","411",,01-01-1968
"0207.298.106","AC","000","2","411",,01-01-1968
"0207.298.502","AC","000","2","411",,01-01-1968
"0207.298.995","AC","000","2","411",,01-01-1968
"0207.299.589","AC","000","2","411",,09-08-1881
"0207.300.678","AC","000","2","411",,01-03-1951
"0207.300.876","AC","000","2","411",,01-01-1968
"0207.301.767","AC","000","2","411",,01-01-1968
"0207.302.559","AC","000","2","411",,01-01-1968
"0207.303.054","AC","000","2","411",,07-06-1967
"0207.303.747","AC","000","2","411",,01-01-1968
"0207.306.717","AC","000","2","411",,01-01-1968
"0207.307.311","AC","000","2","411",,01-01-1968
"0207.308.596","AC","000","2","411",,13-06-1936
"0207.309.091","AC","000","2","411",,01-01-1968
"0207.309.784","AC","000","2","411",,01-01-1968
"0207.310.774","AC","000","2","411",,01-01-1968
"0207.312.259","AC","000","2","411",,01-01-1968
"0207.312.358","AC","000","2","411",,01-01-1968
"0207.312.457","AC","000","2","411",,01-01-1968
"0207.312.952","AC","000","2","411",,01-01-1968
"0207.313.348","AC","000","2","411",,01-01-1968
"0207.314.041","AC","000","2","411",,01-01-1968
"0207.315.229","AC","000","2","411",,01-01-1968
"0207.316.021","AC","000","2","411",,01-01-1968
"0207.316.714","AC","000","2","411",,01-01-1968
"0207.318.197","AC","000","2","411",,01-01-1968
"0207.318.593","AC","000","2","411",,16-03-1880
"0207.330.471","AC","000","2","411",,26-09-1942
"0207.332.352","AC","000","2","411",,01-01-1968
"0207.333.441","AC","000","2","411",,01-01-1968
"0207.333.738","AC","000","2","411",,01-01-1968
"0207.333.837","AC","000","2","411",,01-01-1968
"0207.334.035","AC","000","2","411",,01-01-1968
"0207.334.134","AC","000","2","411",,22-07-1952
"0207.334.332","AC","000","2","411",,01-01-1968
"0207.334.431","AC","000","2","411",,01-01-1968
"0207.334.728","AC","000","2","411",,01-01-1968
"0207.336.213","AC","000","2","411",,01-01-1968
"0207.336.708","AC","000","2","411",,01-01-1968
"0207.337.104","AC","000","2","411",,01-01-1968
"0207.338.092","AC","000","2","411",,21-12-1874
"0207.338.389","AC","000","2","411",,01-01-1968
"0207.338.686","AC","000","2","411",,21-05-1886
"0207.338.884","AC","000","2","411",,01-01-1968
"0207.339.280","AC","000","2","411",,01-01-1968
"0207.339.973","AC","000","2","411",,01-01-1968
"0207.340.369","AC","000","2","411",,01-01-1968
"0207.340.468","AC","000","2","411",,01-01-1968
"0207.340.963","AC","000","2","411",,31-07-1879
"0207.341.557","AC","000","2","411",,01-01-1968
"0207.342.745","AC","000","2","411",,01-01-1968
"0207.343.636","AC","000","2","411",,01-01-1968
"0207.343.933","AC","000","2","411",,01-01-1968
"0207.345.418","AC","000","2","411",,01-01-1968
"0207.346.705","AC","000","2","411",,01-01-1968
"0207.347.002","AC","000","2","411",,01-01-1968
"0207.347.396","AC","000","2","411",,01-01-1968
"0207.347.495","AC","000","2","411",,21-05-1886
"0207.347.891","AC","000","2","411",,01-01-1968
"0207.348.584","AC","000","2","411",,01-01-1968
"0207.348.782","AC","000","2","411",,20-05-1890
"0207.348.980","AC","000","2","411",,01-01-1968
"0207.350.762","AC","000","2","411",,21-12-1874
"0207.353.831","AC","000","2","411",,01-01-1968
"0207.354.920","AC","000","2","411",,01-01-1968
"0207.355.019","AC","000","2","411",,02-07-1887
"0207.355.118","AC","000","2","411",,01-01-1968
"0207.355.811","AC","000","2","411",,27-05-1890
"0207.358.581","AC","000","2","411",,01-01-1968
"0207.359.967","AC","000","2","411",,01-01-1968
"0207.361.452","AC","000","2","411",,01-01-1968
"0207.362.343","AC","000","2","411",,01-01-1968
"0207.362.739","AC","000","2","411",,01-01-1968
"0207.364.818","AC","000","2","411",,01-01-1968
"0207.365.016","AC","000","2","411",,01-01-1968
"0207.365.115","AC","000","2","411",,01-01-1968
"0207.365.610","AC","000","2","411",,01-01-1968
"0207.365.709","AC","000","2","411",,01-01-1968
"0207.366.501","AC","000","2","411",,01-01-1968
"0207.366.895","AC","000","2","411",,31-03-1941
"0207.366.994","AC","000","2","411",,01-01-1968
"0207.367.489","AC","000","2","411",,01-01-1968
"0207.367.588","AC","000","2","411",,01-01-1968
"0207.367.687","AC","000","2","411",,01-01-1968
"0207.367.984","AC","000","2","411",,06-03-1925
"0207.368.380","AC","000","2","411",,09-04-1971
"0207.368.875","AC","000","2","411",,01-01-1968
"0207.368.974","AC","000","2","411",,06-03-1925
"0207.369.271","AC","000","2","411",,01-01-1968
"0207.370.459","AC","000","2","411",,01-01-1968
"0207.371.647","AC","000","2","411",,01-01-1968
"0207.372.043","AC","000","2","411",,01-01-1968
"0207.372.538","AC","000","2","411",,05-03-1941
"0207.372.637","AC","000","2","411",,08-08-1962
"0207.372.736","AC","000","2","411",,01-01-1968
"0207.373.429","AC","000","2","411",,30-03-1921
"0207.373.627","AC","000","2","411",,29-10-1948
"0207.374.617","AC","000","2","411",,01-01-1968
"0207.375.310","AC","000","2","411",,01-01-1968
"0207.375.904","AC","000","2","411",,02-07-1964
"0207.376.102","AC","000","2","411",,01-01-1968
"0207.376.397","AC","000","2","411",,02-07-1964
"0207.376.595","AC","000","2","411",,01-01-1968
"0207.376.991","AC","000","2","411",,01-01-1968
"0207.378.080","AC","000","2","411",,01-01-1968
"0207.378.773","AC","000","2","411",,02-07-1964
"0207.379.268","AC","000","2","411",,01-01-1968
"0207.379.466","AC","000","2","411",,01-01-1968
"0207.380.159","AC","000","2","411",,01-01-1968
"0207.380.258","AC","000","2","411",,01-01-1968
"0207.380.456","AC","000","2","411",,07-04-1965
"0207.380.555","AC","000","2","411",,06-06-1878
"0207.381.446","AC","000","2","411",,01-01-1968
"0207.381.644","AC","000","2","411",,28-04-1876
"0207.383.129","AC","000","2","411",,01-01-1968
"0207.384.812","AC","000","2","411",,01-01-1968
"0207.386.196","AC","000","2","411",,01-01-1968
"0207.386.295","AC","000","2","411",,01-01-1968
"0207.387.978","AC","000","2","411",,01-01-1968
"0207.389.859","AC","000","2","411",,01-01-1968
"0207.389.958","AC","000","2","411",,15-09-1919
"0207.391.344","AC","000","2","411",,01-01-1968
"0207.391.443","AC","000","2","411",,01-01-1968
"0207.391.641","AC","000","2","411",,01-01-1968
"0207.392.433","AC","000","2","411",,01-01-1968
"0207.392.928","AC","000","2","411",,01-01-1968
"0207.394.116","AC","000","2","411",,01-01-1968
"0207.394.215","AC","000","2","411",,01-01-1968
"0207.396.292","AC","000","2","411",,09-05-1898
"0207.396.490","AC","000","2","411",,01-01-1968
"0207.399.757","AC","000","2","411",,01-01-1968
"0207.400.846","AC","000","2","411",,25-03-1925
"0207.401.044","AC","000","2","411",,31-03-1941
"0207.401.341","AC","000","2","411",,01-01-1968
"0207.401.935","AC","000","2","411",,01-01-1968
"0207.402.331","AC","000","2","411",,06-03-1925
"0207.402.430","AC","000","2","411",,01-01-1968
"0207.402.628","AC","000","2","411",,01-01-1968
"0207.403.222","AC","000","2","411",,06-03-1925
"0207.403.915","AC","000","2","411",,01-01-1968
"0207.404.014","AC","000","2","411",,01-01-1968
"0207.409.457","AC","000","2","411",,01-01-1968
"0207.410.546","AC","000","2","411",,01-01-1968
"0207.410.645","AC","000","2","411",,01-01-1968
"0207.430.342","AC","000","2","411",,01-01-1968
"0207.430.441","AC","000","2","411",,01-01-1968
"0207.431.332","AC","000","2","411",,01-01-1968
"0207.431.629","AC","000","2","411",,01-01-1968
"0207.432.124","AC","000","2","411",,01-01-1968
"0207.432.520","AC","000","2","411",,02-07-1964
"0207.432.916","AC","000","2","411",,01-01-1968
"0207.433.312","AC","000","2","411",,01-01-1968
"0207.433.708","AC","000","2","411",,01-01-1968
"0207.434.203","AC","000","2","411",,01-01-1968
"0207.434.597","AC","000","2","411",,24-07-1911
"0207.435.092","AC","000","2","411",,01-01-1968
"0207.435.785","AC","000","2","411",,01-01-1968
"0207.436.676","AC","000","2","411",,01-01-1968
"0207.436.775","AC","000","2","411",,01-07-1899
"0207.437.468","AC","000","2","411",,01-01-1968
"0207.437.864","AC","000","2","411",,01-01-1968
"0207.438.458","AC","000","2","411",,08-08-1962
"0207.439.151","AC","000","2","411",,01-01-1968
"0207.439.448","AC","000","2","411",,01-01-1968
"0207.439.745","AC","000","2","411",,01-01-1968
"0207.440.438","AC","000","2","411",,01-01-1968
"0207.441.527","AC","000","2","411",,01-01-1968
"0207.443.012","AC","000","2","411",,01-01-1968
"0207.444.990","AC","000","2","411",,01-01-1968
"0207.445.287","AC","000","2","411",,02-07-1964
"0207.445.485","AC","000","2","411",,01-01-1968
"0207.445.584","AC","000","2","411",,01-01-1968
"0207.445.782","AC","000","2","411",,01-01-1968
"0207.445.881","AC","000","2","411",,20-04-1921
"0207.446.079","AC","000","2","411",,01-01-1968
"0207.447.069","AC","000","2","411",,01-01-1968
"0207.447.366","AC","000","2","411",,01-01-1968
"0207.447.465","AC","000","2","411",,16-08-1973
"0207.447.663","AC","000","2","411",,01-01-1968
"0207.447.861","AC","000","2","411",,01-01-1968
"0207.448.158","AC","000","2","411",,01-01-1968
"0207.448.356","AC","000","2","411",,01-01-1968
"0207.448.554","AC","000","2","411",,01-01-1968
"0207.448.851","AC","000","2","411",,01-01-1968
"0207.449.346","AC","000","2","411",,01-01-1968
"0207.450.633","AC","000","2","411",,20-04-1921
"0207.451.128","AC","000","2","411",,01-01-1968
"0207.451.227","AC","000","2","411",,01-01-1968
"0207.451.326","AC","000","2","411",,01-01-1968
"0207.452.514","AC","000","2","411",,01-01-1968
"0207.454.294","AC","000","2","411",,01-01-1968
"0207.456.868","AC","000","2","411",,01-01-1968
"0207.460.432","AC","000","2","411",,01-01-1968
"0207.463.402","AC","000","2","411",,01-01-1968
"0207.464.093","AC","000","2","411",,01-01-1968
"0207.464.192","AC","000","2","411",,01-01-1968
"0207.464.489","AC","000","2","411",,01-01-1968
"0207.464.588","AC","000","2","411",,01-01-1968
"0207.465.083","AC","000","2","411",,01-01-1968
"0207.465.281","AC","000","2","411",,01-01-1968
"0207.465.974","AC","000","2","411",,01-01-1968
"0207.466.469","AC","000","2","411",,01-01-1968
"0207.466.766","AC","000","2","411",,01-01-1968
"0207.466.964","AC","000","2","411",,01-01-1968
"0207.467.162","AC","000","2","411",,01-01-1968
"0207.468.152","AC","000","2","411",,24-06-1950
"0207.468.350","AC","000","2","411",,01-01-1968
"0207.469.142","AC","000","2","411",,01-01-1968
"0207.469.934","AC","000","2","411",,01-01-1968
"0207.471.221","AC","000","2","411",,01-01-1968
"0207.471.320","AC","000","2","411",,01-01-1968
"0207.471.518","AC","000","2","411",,01-01-1968
"0207.471.617","AC","000","2","411",,02-07-1964
"0207.471.716","AC","000","2","411",,01-01-1968
"0207.472.904","AC","000","2","411",,12-04-1945
"0207.473.102","AC","000","2","411",,01-01-1968
"0207.473.201","AC","000","2","411",,01-01-1968
"0207.474.189","AC","000","2","411",,01-01-1968
"0207.474.882","AC","000","2","411",,01-01-1968
"0207.475.377","AC","000","2","411",,27-05-1970
"0207.476.862","AC","000","2","411",,01-01-1968
"0207.477.456","AC","000","2","411",,01-01-1968
"0207.478.743","AC","000","2","411",,01-01-1968
"0207.480.921","AC","000","2","411",,01-01-1968
"0207.483.691","AC","000","2","411",,01-01-1968
"0207.484.186","AC","000","2","411",,01-01-1968
"0207.484.285","AC","000","2","411",,01-01-1968
"0207.484.384","AC","000","2","411",,01-01-1968
"0207.484.582","AC","000","2","411",,01-01-1968
"0207.484.681","AC","000","2","411",,01-01-1968
"0207.484.780","AC","000","2","411",,01-01-1968
"0207.485.374","AC","000","2","411",,01-01-1968
"0207.485.473","AC","000","2","411",,01-01-1968
"0207.485.770","AC","000","2","411",,01-01-1968
"0207.485.869","AC","000","2","411",,01-01-1968
"0207.487.354","AC","000","2","411",,01-01-1968
"0207.488.344","AC","000","2","411",,01-01-1968
"0207.488.443","AC","000","2","411",,01-01-1968
"0207.488.641","AC","000","2","411",,01-01-1968
"0207.489.037","AC","000","2","411",,02-07-1964
"0207.490.621","AC","000","2","411",,01-01-1968
"0207.491.215","AC","000","2","411",,01-01-1968
"0207.491.413","AC","000","2","411",,01-01-1968
"0207.491.710","AC","000","2","411",,01-01-1968
"0207.492.502","AC","000","2","411",,01-01-1968
"0207.493.391","AC","000","2","411",,01-01-1968
"0207.494.480","AC","000","2","411",,01-01-1968
"0207.494.579","AC","000","2","411",,01-01-1968
"0207.494.678","AC","000","2","411",,01-01-1968
"0207.495.074","AC","000","2","411",,01-01-1968
"0207.495.470","AC","000","2","411",,17-11-1919
"0207.495.668","AC","000","2","411",,01-01-1968
"0207.499.133","AC","000","2","411",,01-01-1968
"0207.499.430","AC","000","2","411",,01-01-1968
"0207.499.727","AC","000","2","411",,01-01-1968
"0207.500.123","AC","000","2","411",,22-03-1929
"0207.500.321","AC","000","2","411",,27-10-1946
"0207.500.420","AC","000","2","411",,01-01-1968
"0207.501.113","AC","000","2","411",,01-01-1968
"0207.501.311","AC","000","2","411",,01-01-1968
"0207.501.410","AC","000","2","411",,29-06-1969
"0207.501.707","AC","000","2","411",,01-01-1968
"0207.501.806","AC","000","2","411",,01-01-1968
"0207.502.004","AC","000","2","411",,01-01-1968
"0207.502.103","AC","000","2","411",,01-01-1968
"0207.502.202","AC","000","2","411",,01-01-1968
"0207.502.301","AC","000","2","411",,01-01-1968
"0207.502.497","AC","000","2","411",,01-01-1968
"0207.502.596","AC","000","2","411",,01-01-1968
"0207.502.794","AC","000","2","411",,01-01-1968
"0207.502.992","AC","000","2","411",,01-01-1968
"0207.503.190","AC","000","2","411",,01-01-1968
"0207.503.388","AC","000","2","411",,01-01-1968
"0207.503.784","AC","000","2","411",,01-01-1968
"0207.503.982","AC","000","2","411",,29-10-1958
"0207.504.378","AC","000","2","411",,01-01-1968
"0207.504.477","AC","000","2","411",,01-01-1968
"0207.504.576","AC","000","2","411",,01-01-1968
"0207.504.675","AC","000","2","411",,01-01-1968
"0207.505.368","AC","000","2","411",,01-01-1968
"0207.505.566","AC","000","2","411",,01-01-1968
"0207.505.764","AC","000","2","411",,01-01-1968
"0207.505.863","AC","000","2","411",,01-01-1968
"0207.506.061","AC","000","2","411",,01-01-1968
"0207.506.160","AC","000","2","411",,01-01-1968
"0207.506.259","AC","000","2","411",,01-01-1968
"0207.506.358","AC","000","2","411",,01-01-1968
"0207.506.952","AC","000","2","411",,01-01-1968
"0207.507.645","AC","000","2","411",,01-01-1968
"0207.508.536","AC","000","2","411",,01-01-1968
"0207.508.932","AC","000","2","411",,01-01-1968
"0207.509.031","AC","000","2","411",,01-01-1968
"0207.509.427","AC","000","2","411",,01-01-1968
"0207.509.724","AC","000","2","411",,01-01-1968
"0207.510.021","AC","000","2","411",,21-10-1874
"0207.511.011","AC","000","2","411",,21-10-1874
"0207.511.110","AC","000","2","411",,01-01-1968
"0207.511.803","AC","000","2","411",,01-01-1968
"0207.512.001","AC","000","2","411",,01-01-1968
"0207.512.197","AC","000","2","411",,01-01-1968
"0207.513.484","AC","000","2","411",,31-03-1927
"0207.514.276","AC","000","2","411",,01-01-1968
"0207.514.474","AC","000","2","411",,01-01-1968
"0207.515.068","AC","000","2","411",,01-01-1968
"0207.515.266","AC","000","2","411",,01-01-1968
"0207.515.365","AC","000","2","411",,02-07-1964
"0207.515.464","AC","000","2","411",,01-01-1968
"0207.516.058","AC","000","2","411",,01-01-1968
"0207.516.157","AC","000","2","411",,01-01-1968
"0207.516.256","AC","000","2","411",,01-01-1968
"0207.516.454","AC","000","2","411",,11-04-1928
"0207.516.751","AC","000","2","411",,01-01-1968
"0207.516.949","AC","000","2","411",,02-07-1964
"0207.517.345","AC","000","2","411",,01-01-1968
"0207.518.137","AC","000","2","411",,01-01-1968
"0207.518.335","AC","000","2","411",,01-01-1968
"0207.518.632","AC","000","2","411",,01-01-1968
